,diagnosis_type,diagnosis_code
4237, Congenital anemia,76.5
4238, Anemia of prematurity,76.6
4239, Transient neonatal neutropenia,76.7
4240, Other specified transient hematological disorders,76.8
4241, Unspecified,76.9
4242,Perinatal disorders of digestive system,77
4243, Meconium obstruction,77.1
4244, Intestinal obstruction due to inspissated milk,77.2
4245, Hematemesis and melena due to swallowed maternal blood,77.3
4246, Transitory ileus of newborn,77.4
4247, Necrotizing enterocolitis in fetus or newborn,77.5
4248, Perinatal intestinal perforation,77.6
4249, Other,77.8
4250, Unspecified,77.9
4251,Conditions involving the integument and temperature regulation of newborn,78
4252, Hydrops fetalis not due to isoimmunization,78.0
4253, Sclerema neonatorum,78.1
4254, Cold injury syndrome of newborn,78.2
4255, Other hypothermia of newborn,78.3
4256, Other disturbances of temperature regulation of newborn,78.4
4257, Other and unspecified edema of newborn,78.5
4258, Congenital hydrocele,78.6
4259, Breast engorgement in newborn,78.7
4260, Other,78.8
4261, Unspecified,78.9
4262,Other and ill-defined conditions originating in the perinatal period,79
4263, Convulsions in newborn,79.0
4264, Other and unspecified cerebral irritability in newborn,79.1
4265," Cerebral depression, coma, and other abnormal cerebral signs",79.2
4266, Feeding problems in newborn,79.3
4267, Drug reactions and intoxications specific to newborn,79.4
4268, Drug withdrawal syndrome in newborn,79.5
4269, Termination of pregnancy,79.6
4270, Other,79.8
4271, Unspecified,79.9
4272,General symptoms,80
4273, Coma and stupor,80.0
4274, Hallucinations,80.1
4275, Syncope and collapse,80.2
4276, Convulsions,80.3
4277, Dizziness and giddiness,80.4
4278, Sleep disturbances,80.5
4279, Pyrexia of unknown origin,80.6
4280, Malaise and fatigue,80.7
4281, Hyperhidrosis,80.8
4282, Other,80.9
4283,Symptoms involving nervous and musculoskeletal systems,81
4284, Abnormal involuntary movements,81.0
4285, Disturbances of sensation of smell and taste,81.1
4286, Abnormality of gait,81.2
4287, Lack of coordination,81.3
4288, Transient paralysis of limb,81.4
4289, Clubbing of fingers,81.5
4290, Meningismus,81.6
4291, Tetany,81.7
4292, Other,81.9
4293,Symptoms involving skin and other integumentary tissue,82
4294, Disturbance of skin sensation,82.0
4295, Rash and other nonspecific skin eruption,82.1
4296," Localized superficial swelling, mass, or lump",82.2
4297, Edema,82.3
4298," Jaundice unspecified, not of newborn",82.4
4299, Cyanosis,82.5
4300, Pallor and flushing,82.6
4301, Spontaneous ecchymoses,82.7
4302, Changes in skin texture,82.8
4303, Other,82.9
4304,"Symptoms concerning nutrition, metabolism, and development",83
4305, Anorexia,83.0
4306, Abnormal weight gain,83.1
4307, Abnormal loss of weight,83.2
4308, Feeding difficulties and mismanagement,83.3
4309, Lack of expected normal physiological development,83.4
4310, Polydipsia,83.5
4311, Polyphagia,83.6
4312, Other,83.9
4313,Symptoms involving head and neck,84
4314, Headache,84.0
4315, Throat pain,84.1
4316," Swelling, mass, or lump in head and neck",84.2
4317, Aphasia,84.3
4318, Voice disturbance,84.4
4319, Other speech disturbance,84.5
4320, Other symbolic dysfunction,84.6
4321, Epistaxis,84.7
4322, Hemorrhage from throat,84.8
4323, Other,84.9
4324,Symptoms involving cardiovascular system,85
4325," Tachycardia, unspecified",85.0
4326, Palpitations,85.1
4327, Functional and undiagnosed cardiac murmurs,85.2
4328, Other abnormal heart sounds,85.3
4329, Gangrene,85.4
4330, Shock without mention of trauma,85.5
4331, Enlargement of lymph nodes,85.6
4332, Other,85.9
4333,Symptoms involving respiratory system and other chest symptoms,86
4334, Dyspnea and respiratory abnormalities,86.0
4335, Stridor,86.1
4336, Cough,86.2
4337, Hemoptysis,86.3
4338, Abnormal sputum,86.4
4339, Chest pain,86.5
4340," Swelling, mass, or lump in chest",86.6
4341, Abnormal chest sounds,86.7
4342, Hiccough,86.8
4343, Other,86.9
4344,Symptoms involving digestive system,87
4345, Nausea and vomiting,87.0
4346, Heartburn,87.1
4347, Dysphagia,87.2
4348," Flatulence, eructation, and gas pain",87.3
4349, Visible peristalsis,87.4
4350, Abnormal bowel sounds,87.5
4351, Incontinence of feces,87.6
4352, Abnormal feces,87.7
4353, Other,87.9
4354,Symptoms involving urinary system,88
4355, Renal colic,88.0
4356, Dysuria,88.1
4357, Retention of urine,88.2
4358, Incontinence of urine,88.3
4359, Frequency of urination and polyuria,88.4
4360, Oliguria and anuria,88.5
4361, Other abnormality of urination,88.6
4362, Urethral discharge,88.7
4363, Extravasation of urine,88.8
4364, Other,88.9
4365,Other symptoms involving abdomen and pelvis,89
4366, Abdominal pain,89.0
4367, Hepatomegaly,89.1
4368, Splenomegaly,89.2
4369," Abdominal or pelvic swelling, mass, or lump",89.3
4370, Abdominal rigidity,89.4
4371, Ascites,89.5
4372, Other,89.9
4373,Nonspecific findings on examination of blood,90
4374, Abnormality of red blood cells,90.0
4375, Elevated sedimentation rate,90.1
4376, Abnormal glucose tolerance test,90.2
4377, Excessive blood level of alcohol,90.3
4378, Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase,90.4
4379, Other nonspecific abnormal serum enzyme levels,90.5
4380, Other abnormal blood chemistry,90.6
4381," Bacteremia, unspecified",90.7
4382," Viremia, unspecified",90.8
4383, Other,90.9
4384,Nonspecific findings on examination of urine,91
4385, Proteinuria,91.0
4386, Chyluria,91.1
4387, Hemoglobinuria,91.2
4388, Myoglobinuria,91.3
4389, Biliuria,91.4
4390, Glycosuria,91.5
4391, Acetonuria,91.6
4392, Other cells and casts in urine,91.7
4393, Other,91.9
4394,Nonspecific abnormal findings in other body substances,92
4395, Cerebrospinal fluid,92.0
4396, Stool contents,92.1
4397, Semen,92.2
4398, Amniotic fluid,92.3
4399, Saliva,92.4
4400, Other,92.9
4401,Nonspecific abnormal findings on radiological and other examination of body structure,93
4402, Skull and head,93.0
4403, Lung field,93.1
4404, Other intrathoracic organ,93.2
4405, Biliary tract,93.3
4406, Gastrointestinal tract,93.4
4407, Genitourinary organs,93.5
4408," Abdominal area, including retroperitoneum",93.6
4409, Musculoskeletal system,93.7
4410, Breast,93.8
4411, Other,93.9
4412,Nonspecific abnormal results of function studies,94
4413, Brain and central nervous system,94.0
4414, Peripheral nervous system and special senses,94.1
4415, Pulmonary,94.2
4416, Cardiovascular,94.3
4417, Kidney,94.4
4418, Thyroid,94.5
4419, Other endocrine function study,94.6
4420, Basal metabolism,94.7
4421, Liver,94.8
4422, Other,94.9
4423,Nonspecific abnormal histological and immunological findings,95
4424, Nonspecific abnormal Papanicolaou smear of cervix,95.0
4425, Nonspecific abnormal Papanicolaou smear of other origin,95.1
4426, Nonspecific abnormal findings on chromosomal analysis,95.2
4427, Nonspecific positive culture findings,95.3
4428, Other nonspecific abnormal histological findings,95.4
4429, Nonspecific reaction to tuberculin test,95.5
4430, False positive serological test for syphilis,95.6
4431, Other nonspecific immunological findings,95.7
4432,Other nonspecific abnormal findings,96
4433, Nonspecific abnormal toxicological findings,96.0
4434, Abnormal reflex,96.1
4435, Elevated blood pressure reading without diagnosis of hypertension,96.2
4436, Nonspecific low blood pressure reading,96.3
4437, Other abnormal clinical findings,96.4
4438, Other,96.9
4439,Senility without mention of psychosis,97
4440,"Sudden death, cause unknown",98
4441, Sudden infant death syndrome,98.0
4442, Instantaneous death,98.1
4443," Death occurring in less than 24 h ours from onset of symptoms, not otherwise explained",98.2
4444, Unattended death,98.9
4445,Other ill-defined and unknown causes of mortality,99
4446, Asphyxia,99.0
4447, Respiratory failure,99.1
4448, Nervousness,99.2
4449," Debility, unspecified",99.3
4450, Cachexia,99.4
4451, Other ill-defined conditions,99.8
4452, Other unknown and unspecified cause,99.9
4453, Railway accidents,E800_1E807
4454,Railway accident involving collision with rolling stock,E800
4455, Railway employee,E800.0
4456, Passenger on railway,E800.1
4457, Pedestrian,E800.2
4458, Pedal cyclist,E800.3
4459, Other specified person,E800.8
4460, Unspecified person,E800.9
4461,Railway accident involving collision with other object,E801
4462, Railway employee,E801.0
4463, Passenger on railway,E801.1
4464, Pedestrian,E801.2
4465, Pedal cyclist,E801.3
4466, Other specified person,E801.8
4467, Unspecified person,E801.9
4468,Railway accident involving derailment without antecedent collision,E802
4469, Railway employee,E802.0
4470, Passenger on railway,E802.1
4471, Pedestrian,E802.2
4472, Pedal cyclist,E802.3
4473, Other specified person,E802.8
4474, Unspecified person,E802.9
4475,"Railway accident involving explosion, fire, or burning",E803
4476, Railway employee,E803.0
4477, Passenger on railway,E803.1
4478, Pedestrian,E803.2
4479, Pedal cyclist,E803.3
4480, Other specified person,E803.8
4481, Unspecified person,E803.9
4482,"Fall in, on, or from railway train",E804
4483, Railway employee,E804.0
4484, Passenger on railway,E804.1
4485, Pedestrian,E804.2
4486, Pedal cyclist,E804.3
4487, Other specified person,E804.8
4488, Unspecified person,E804.9
4489,Hit by rolling stock,E805
4490, Railway employee,E805.0
4491, Passenger on railway,E805.1
4492, Pedestrian,E805.2
4493, Pedal cyclist,E805.3
4494, Other specified person,E805.8
4495, Unspecified person,E805.9
4496,Other specified railway accident,E806
4497, Railway employee,E806.0
4498, Passenger on railway,E806.1
4499, Pedestrian,E806.2
4500, Pedal cyclist,E806.3
4501, Other specified person,E806.8
4502, Unspecified person,E806.9
4503,Railway accident of unspecified nature,E807
4504, Railway employee,E807.0
4505, Passenger on railway,E807.1
4506, Pedestrian,E807.2
4507, Pedal cyclist,E807.3
4508, Other specified person,E807.8
4509, Unspecified person,E807.9
4510, Motor vehicle traffic accidents,E810_1E819
4511,Motor vehicle traffic accident involving collision with train,E810
4512,Motor vehicle traffic accident involving re_1Entrant collision with another motor vehicle,E811
4513,Other motor vehicle traffic accident involving collision with another motor vehicle,E812
4514,Motor vehicle traffic accident involving collision with other vehicle,E813
4515,Motor vehicle traffic accident involving collision with pedestrian,E814
4516,Other motor vehicle traffic accident involving collision on the highway,E815
4517,Motor vehicle traffic accident due to loss of control without collision on the highway,E816
4518,Noncollision motor vehicle traffic accident while boarding or alighting,E817
4519,Other noncollision motor vehicle traffic accident,E818
4520,Motor vehicle traffic accident of unspecified nature,E819
4521, Motor vehicle nontraffic accidents,E820_1E825
4522,Nontraffic accident involving motor-driven snow vehicle,E820
4523,Nontraffic accident involving other off-road motor vehicle,E821
4524,Other motor vehicle nontraffic accident involving collision with moving object,E822
4525,Other motor vehicle nontraffic accident involving collision with stationary object,E823
4526,Other motor vehicle nontraffic accident while boarding or alighting,E824
4527,Other motor vehicle nontraffic accident of other and unspecified nature,E825
4528, Other road vehicle accidents,E826_1E829
4529,Pedal cycle accident,E826
4530, Pedestrian,E826.0
4531, Pedal cyclist,E826.1
4532, Rider of animal,E826.2
4533, Occupant of animal-drawn vehicle,E826.3
4534, Occupant of streetcar,E826.4
4535, Other specified person,E826.8
4536, Unspecified person,E826.9
4537,Animal-drawn vehicle accident,E827
4538, Pedestrian,E827.0
4539, Pedal cyclist,E827.1
4540, Rider of animal,E827.2
4541, Occupant of animal-drawn vehicle,E827.3
4542, Occupant of streetcar,E827.4
4543, Other specified person,E827.8
4544, Unspecified person,E827.9
4545,Accident involving animal being ridden,E828
4546, Pedestrian,E828.0
4547, Pedal cyclist,E828.1
4548, Rider of animal,E828.2
4549, Occupant of animal-drawn vehicle,E828.3
4550, Occupant of streetcar,E828.4
4551, Other specified person,E828.8
4552, Unspecified person,E828.9
4553,Other road vehicle accidents,E829
4554, Pedestrian,E829.0
4555, Pedal cyclist,E829.1
4556, Rider of animal,E829.2
4557, Occupant of animal-drawn vehicle,E829.3
4558, Occupant of streetcar,E829.4
4559, Other specified person,E829.8
4560, Unspecified person,E829.9
4561, Water transport accidents,E830_1E838
4562,Accident to watercraft causing submersion,E830
4563," Occupant of small boat, unpowered",E830.0
4564," Occupant of small boat, powered",E830.1
4565," Occupant of other watercraft, crew",E830.2
4566," Occupant of other watercraft, other than crew",E830.3
4567, Water skier,E830.4
4568, Swimmer,E830.5
4569," Dockers, stevedores",E830.6
4570, Other specified person,E830.8
4571, Unspecified person,E830.9
4572,Accident to watercraft causing other injury,E831
4573," Occupant of small boat, unpowered",E831.0
4574," Occupant of small boat, powered",E831.1
4575," Occupant of other watercraft, crew",E831.2
4576," Occupant of other watercraft, other than crew",E831.3
4577, Water skier,E831.4
4578, Swimmer,E831.5
4579," Dockers, stevedores",E831.6
4580, Other specified person,E831.8
4581, Unspecified person,E831.9
4582,Other accidental submersion or drowning in water transport accident,E832
4583," Occupant of small boat, unpowered",E832.0
4584," Occupant of small boat, powered",E832.1
4585," Occupant of other watercraft, crew",E832.2
4586," Occupant of other watercraft, other than crew",E832.3
4587, Water skier,E832.4
4588, Swimmer,E832.5
4589," Dockers, stevedores",E832.6
4590, Other specified person,E832.8
4591, Unspecified person,E832.9
4592,Fall on stairs or ladders in water transport,E833
4593," Occupant of small boat, unpowered",E833.0
4594," Occupant of small boat, powered",E833.1
4595," Occupant of other watercraft, crew",E833.2
4596," Occupant of other watercraft, other than crew",E833.3
4597, Water skier,E833.4
4598, Swimmer,E833.5
4599," Dockers, stevedores",E833.6
4600, Other specified person,E833.8
4601, Unspecified person,E833.9
4602,Other fall from one level to another in water transport,E834
4603," Occupant of small boat, unpowered",E834.0
4604," Occupant of small boat, powered",E834.1
4605," Occupant of other watercraft, crew",E834.2
4606," Occupant of other watercraft, other than crew",E834.3
4607, Water skier,E834.4
4608, Swimmer,E834.5
4609," Dockers, stevedores",E834.6
4610, Other specified person,E834.8
4611, Unspecified person,E834.9
4612,Other and unspecified fall in water transport,E835
4613," Occupant of small boat, unpowered",E835.0
4614," Occupant of small boat, powered",E835.1
4615," Occupant of other watercraft, crew",E835.2
4616," Occupant of other watercraft, other than crew",E835.3
4617, Water skier,E835.4
4618, Swimmer,E835.5
4619," Dockers, stevedores",E835.6
4620, Other specified person,E835.8
4621, Unspecified person,E835.9
4622,Machinery accident in water transport,E836
4623," Occupant of small boat, unpowered",E836.0
4624," Occupant of small boat, powered",E836.1
4625," Occupant of other watercraft, crew",E836.2
4626," Occupant of other watercraft, other than crew",E836.3
4627, Water skier,E836.4
4628, Swimmer,E836.5
4629," Dockers, stevedores",E836.6
4630, Other specified person,E836.8
4631, Unspecified person,E836.9
4632,"Explosion, fire, or burning in watercraft",E837
4633," Occupant of small boat, unpowered",E837.0
4634," Occupant of small boat, powered",E837.1
4635," Occupant of other watercraft, crew",E837.2
4636," Occupant of other watercraft, other than crew",E837.3
4637, Water skier,E837.4
4638, Swimmer,E837.5
4639," Dockers, stevedores",E837.6
4640, Other specified person,E837.8
4641, Unspecified person,E837.9
4642,Other and unspecified water transport accident,E838
4643," Occupant of small boat, unpowered",E838.0
4644," Occupant of small boat, powered",E838.1
4645," Occupant of other watercraft, crew",E838.2
4646," Occupant of other watercraft, other than crew",E838.3
4647, Water skier,E838.4
4648, Swimmer,E838.5
4649," Dockers, stevedores",E838.6
4650, Other specified person,E838.8
4651, Unspecified person,E838.9
4652, Air and space transport accidents,E840_1E845
4653,Accident to powered aircraft at takeoff or landing,E840
4654, Occupant of spacecraft,E840.0
4655," Occupant of military aircraft, any",E840.1
4656, Crew of commercial aircraft -powered in surface to surface transport,E840.2
4657, Other occupant of commercial aircraft -powered in surface to surface transport,E840.3
4658, Occupant of commercial aircraft -powered in surface to air transport,E840.4
4659, Occupant of other powered aircraft,E840.5
4660," Occupant of unpowered aircraft, except parachutist",E840.6
4661, Parachutist -military -other,E840.7
4662," Ground crew, airline employee",E840.8
4663, Other person,E840.9
4664,"Accident to powered aircraft, other and unspecified",E841
4665, Occupant of spacecraft,E841.0
4666," Occupant of military aircraft, any",E841.1
4667, Crew of commercial aircraft -powered in surface to surface transport,E841.2
4668, Other occupant of commercial aircraft -powered in surface to surface transport,E841.3
4669, Occupant of commercial aircraft -powered in surface to air transport,E841.4
4670, Occupant of other powered aircraft,E841.5
4671," Occupant of unpowered aircraft, except parachutist",E841.6
4672, Parachutist -military -other,E841.7
4673," Ground crew, airline employee",E841.8
4674, Other person,E841.9
4675,Accident to unpowered aircraft,E842
4676, Occupant of spacecraft,E842.0
4677," Occupant of military aircraft, any",E842.1
4678, Crew of commercial aircraft -powered in surface to surface transport,E842.2
4679, Other occupant of commercial aircraft -powered in surface to surface transport,E842.3
4680, Occupant of commercial aircraft -powered in surface to air transport,E842.4
4681, Occupant of other powered aircraft,E842.5
4682," Occupant of unpowered aircraft, except parachutist",E842.6
4683, Parachutist -military -other,E842.7
4684," Ground crew, airline employee",E842.8
4685, Other person,E842.9
4686,"Fall in, on, or from aircraft",E843
4687, Occupant of spacecraft,E843.0
4688," Occupant of military aircraft, any",E843.1
4689, Crew of commercial aircraft -powered in surface to surface transport,E843.2
4690, Other occupant of commercial aircraft -powered in surface to surface transport,E843.3
4691, Occupant of commercial aircraft -powered in surface to air transport,E843.4
4692, Occupant of other powered aircraft,E843.5
4693," Occupant of unpowered aircraft, except parachutist",E843.6
4694, Parachutist -military -other,E843.7
4695," Ground crew, airline employee",E843.8
4696, Other person,E843.9
4697,Other specified air transport accidents,E844
4698, Occupant of spacecraft,E844.0
4699," Occupant of military aircraft, any",E844.1
4700, Crew of commercial aircraft -powered in surface to surface transport,E844.2
4701, Other occupant of commercial aircraft -powered in surface to surface transport,E844.3
4702, Occupant of commercial aircraft -powered in surface to air transport,E844.4
4703, Occupant of other powered aircraft,E844.5
4704," Occupant of unpowered aircraft, except parachutist",E844.6
4705, Parachutist -military -other,E844.7
4706," Ground crew, airline employee",E844.8
4707, Other person,E844.9
4708,Accident involving spacecraft,E845
4709, Occupant of spacecraft,E845.0
4710," Occupant of military aircraft, any",E845.1
4711, Crew of commercial aircraft -powered in surface to surface transport,E845.2
4712, Other occupant of commercial aircraft -powered in surface to surface transport,E845.3
4713, Occupant of commercial aircraft -powered in surface to air transport,E845.4
4714, Occupant of other powered aircraft,E845.5
4715," Occupant of unpowered aircraft, except parachutist",E845.6
4716, Parachutist -military -other,E845.7
4717," Ground crew, airline employee",E845.8
4718, Other person,E845.9
4719, Vehicle accidents not elsewhere classifiable,E846_1E848
4720,industrial or commercial establishment,E846
4721,Accidents involving cable cars not running on rails,E847
4722,Accidents involving other vehicles not elsewhere classified,E848
4723," Accidental poisoning by drugs, medicaments, and biologicals",E850_1E858
4724,"Accidental poisoning by analgesics, antipyretics, antirheumatics",E850
4725, Opiates and related narcotics,E850.0
4726, Salicylates,E850.1
4727," Aromatic analgesics, not elsewhere classified",E850.2
4728, Pyrazole derivatives,E850.3
4729, Antirheumatics -antiphlogistics,E850.4
4730, Other non-narcotic analgesics,E850.5
4731, Other,E850.8
4732, Unspecified,E850.9
4733,Accidental poisoning by barbiturates,E851
4734,Accidental poisoning by other sedatives and hypnotics,E852
4735, Chloral hydrate group,E852.0
4736, Paraldehyde,E852.1
4737, Bromine compounds,E852.2
4738, Methaqualone compounds,E852.3
4739, Glutethimide group,E852.4
4740," Mixed sedatives, not elsewhere classified",E852.5
4741, Other,E852.8
4742, Unspecified,E852.9
4743,Accidental poisoning by tranquilizers,E853
4744, Phenothiazine-based tranquilizers,E853.0
4745, Butyrophenone-based tranquilizers,E853.1
4746, Benzodiazepine-based tranquilizers,E853.2
4747, Other,E853.8
4748, Unspecified,E853.9
4749,Accidental poisoning by other psychotropic agents,E854
4750, Antidepressants,E854.0
4751, Psychodysleptics -hallucinogens,E854.1
4752, Psychostimulants,E854.2
4753, Central nervous system stimulants,E854.3
4754,Accidental poisoning by other drugs acting on central and autonomic nervous systems,E855
4755, Anticonvulsant and anti-Parkinsonism drugs,E855.0
4756, Other central nervous system depressants,E855.1
4757, Local anesthetics,E855.2
4758, Parasympathomimetics -cholinergics,E855.3
4759, Parasympatholytics -anticholinergics and antimuscarinics and spasmolytics,E855.4
4760, Sympathomimetics -adrenergics,E855.5
4761, Sympatholytics -antiadrenergics,E855.6
4762, Other,E855.8
4763, Unspecified,E855.9
4764,Accidental poisoning by antibiotics,E856
4765,Accidental poisoning by anti-infectives,E857
4766,Accidental poisoning by other drugs,E858
4767, Hormones and synthetic substitutes,E858.0
4768, Primarily systemic agents,E858.1
4769, Agents primarily affecting blood constituents,E858.2
4770, Agents primarily affecting cardiovascular system,E858.3
4771, Agents primarily affecting gastrointestinal system,E858.4
4772," Water, mineral, and uric acid metabolism drugs",E858.5
4773, Agents primarily acting on the smooth and skeletal muscles and respiratory system,E858.6
4774,drugs,E858.7
4775, Other,E858.8
4776, Unspecified,E858.9
4777," Accidental poisoning by other solid and liquid substances, gases, and vapors",E860_1E869
4778,"Accidental poisoning by alcohol, not elsewhere classified",E860
4779, Alcoholic beverages,E860.0
4780, Other and unspecified ethyl alcohol and its products,E860.1
4781, Methyl alcohol,E860.2
4782, Isopropyl alcohol,E860.3
4783, Fusel oil,E860.4
4784, Other,E860.8
4785, Unspecified,E860.9
4786, Synthetic detergents and shampoos,E861.0
4787, Soap products,E861.1
4788, Polishes,E861.2
4789, Other cleansing and polishing agents,E861.3
4790, Disinfectants,E861.4
4791, Lead paints,E861.5
4792, Other paints and varnishes,E861.6
4793, Unspecified,E861.9
4794,classified,E862
4795, Petroleum solvents,E862.0
4796, Petroleum fuels and cleaners,E862.1
4797, Lubricating oils,E862.2
4798, Petroleum solids,E862.3
4799, Other solvents,E862.4
4800, Unspecified,E862.9
4801,other than plant foods and fertilizers,E863
4802, Insecticides of organochlorine compounds,E863.0
4803, Insecticides of organophosphorus compounds,E863.1
4804, Carbamates,E863.2
4805, Mixtures of insecticides,E863.3
4806, Other and unspecified insecticides,E863.4
4807, Herbicides,E863.5
4808, Fungicides,E863.6
4809, Rodenticides,E863.7
4810, Fumigants,E863.8
4811, Other and unspecified,E863.9
4812,"Accidental poisoning by corrosives and caustics, not elsewhere classified",E864
4813, Corrosive aromatics,E864.0
4814, Acids,E864.1
4815, Caustic alkalis,E864.2
4816, Other,E864.3
4817, Unspecified,E864.4
4818,Accidental poisoning from foodstuffs and poisonous plants,E865
4819, Meat,E865.0
4820, Shellfish,E865.1
4821, Other fish,E865.2
4822, Berries and seeds,E865.3
4823, Other plants,E865.4
4824, Mushrooms and other fungi,E865.5
4825, Other food,E865.8
4826, Unspecified,E865.9
4827,Accidental poisoning by other and unspecified solid and liquid substances,E866
4828, Lead and its compounds and fumes,E866.0
4829, Mercury and its compounds and fumes,E866.1
4830, Antimony and its compounds and fumes,E866.2
4831, Arsenic and its compounds and fumes,E866.3
4832, Other metals and their compounds and fumes,E866.4
4833, Plant foods and fertilizers,E866.5
4834, Glues and adhesives,E866.6
4835, Cosmetics,E866.7
4836, Other,E866.8
4837, Unspecified,E866.9
4838,Accidental poisoning by gas distributed by pipeline,E867
4839,Accidental poisoning by other utility gas and other carbon monoxide,E868
4840, Liquefied petroleum gas distributed in mobile containers,E868.0
4841, Other and unspecified utility gas,E868.1
4842, Motor vehicle exhaust gas,E868.2
4843, Carbon monoxide from incomplete combustion of other domestic fuels,E868.3
4844, Carbon monoxide from other sources,E868.8
4845, Unspecified carbon monoxide,E868.9
4846,Accidental poisoning by other gases and vapors,E869
4847, Nitrogen oxides,E869.0
4848, Sulphur dioxide,E869.1
4849, Freon,E869.2
4850, Lacrimogenic gas -tear gas,E869.3
4851, Other specified gases and vapors,E869.8
4852, Unspecified gases and vapors,E869.9
4853, Misadventures to patients during surgical and medical care,E870_1E876
4854,"Accidental cut, puncture, perforation, or hemorrhage during medical care",E870
4855, Surgical operation,E870.0
4856, Infusion or transfusion,E870.1
4857, Kidney dialysis or other perfusion,E870.2
4858, Injection or vaccination,E870.3
4859, Endoscopic examination,E870.4
4860," Aspiration of fluid or tissue, puncture, and catheterization -any except heart catheterization",E870.5
4861, Heart catheterization,E870.6
4862, Administration of enema,E870.7
4863, Other,E870.8
4864, Unspecified,E870.9
4865,Foreign object left in body during procedure,E871
4866, Surgical operation,E871.0
4867, Infusion or transfusion,E871.1
4868, Kidney dialysis or other perfusion,E871.2
4869, Injection or vaccination,E871.3
4870, Endoscopic examination,E871.4
4871," Aspiration of fluid or tissue, puncture, and catheterization -any except heart catheterization",E871.5
4872, Heart catheterization,E871.6
4873, Removal of catheter or packing,E871.7
4874, Other,E871.8
4875, Unspecified,E871.9
4876,Failure of sterile precautions during procedure,E872
4877, Surgical operation,E872.0
4878, Infusion or transfusion,E872.1
4879, Kidney dialysis and other perfusion,E872.2
4880, Injection or vaccination,E872.3
4881, Endoscopic examination,E872.4
4882," Aspiration of fluid or tissue, puncture, and catheterization -any except heart catheterization",E872.5
4883, Heart catheterization,E872.6
4884, Other,E872.8
4885, Unspecified,E872.9
4886,Failure in dosage,E873
4887, Excessive amount of blood or other fluid during transfusion or infusion,E873.0
4888, Incorrect dilution of fluid during infusion,E873.1
4889, Overdose of radiation in therapy,E873.2
4890, Inadvertent exposure of patient to radiation during medical care,E873.3
4891, Failure in dosage in electroshock or insulin-shock therapy,E873.4
4892, Inappropriate -too hot or too cold temperature in local application and packing,E873.5
4893, Nonadministration of necessary drug or medicament,E873.6
4894, Other,E873.8
4895, Unspecified,E873.9
4896,Mechanical failure of instrument or apparatus during procedure,E874
4897, Surgical operation,E874.0
4898, Infusion and transfusion,E874.1
4899, Kidney dialysis and other perfusion,E874.2
4900, Endoscopic examination,E874.3
4901," Aspiration of fluid or tissue, puncture, and catheterization -any except heart catheterization",E874.4
4902, Heart catheterization,E874.5
4903, Other,E874.8
4904, Unspecified,E874.9
4905,"Contaminated or infected blood, other fluid, drug, or biological substance",E875
4906, Contaminated substance transfused or infused,E875.0
4907, Contaminated substance injected or used for vaccination,E875.1
4908, Contaminated drug or biological substance administered by other means,E875.2
4909, Other,E875.8
4910, Unspecified,E875.9
4911,Other and unspecified misadventures during medical care,E876
4912, Mismatched blood in transfusion,E876.0
4913, Wrong fluid in infusion,E876.1
4914, Failure in suture and ligature during surgical operation,E876.2
4915, Endotracheal tube wrongly placed during anesthetic procedure,E876.3
4916, Failure to introduce or to remove other tube or instrument,E876.4
4917, Performance of inappropriate operation,E876.5
4918, Other specified misadventures,E876.8
4919, Unspecified misadventure,E876.9
4920,"complication, without mention of misadventure at the time of procedure",E878_1E879
4921,"later complication, without mention of misadventure at the time of operation",E878
4922, Surgical operation with transplant of whole organ,E878.0
4923, Surgical operation with implant of artificial internal device,E878.1
4924," Surgical operation with anastomosis, bypass, or graft with natural or artifical tissues used as implant",E878.2
4925, Surgical operation with formation of external stoma,E878.3
4926, Other restorative surgery,E878.4
4927, Amputation of limb-s,E878.5
4928, Removal of other organ -partial -total,E878.6
4929, Other,E878.8
4930, Unspecified,E878.9
4931,"abnormal reaction of patient, or of later complication",E879
4932, Cardiac catheterization,E879.0
4933, Kidney dialysis,E879.1
4934, Radiological procedure and radiotherapy,E879.2
4935, Shock therapy,E879.3
4936, Aspiration of fluid,E879.4
4937, Insertion of gastric or duodenal sound,E879.5
4938, Urinary catheterization,E879.6
4939, Blood sampling,E879.7
4940, Other,E879.8
4941, Unspecified,E879.9
4942, Accidental falls,E880_1E888
4943,Fall on or from stairs or steps,E880
4944, Escalator,E880.0
4945, Other stairs or steps,E880.9
4946,Fall on or from ladders or scaffolding,E881
4947, Fall from ladder,E881.0
4948, Fall from scaffolding,E881.1
4949,Fall from or out of building or other structure,E882
4950,Fall into hole or other opening in surface,E883
4951, Accident from diving or jumping into water -swimming pool,E883.0
4952, Accidental fall into well,E883.1
4953, Accidental fall into storm drain or manhole,E883.2
4954, Fall into other hole or other opening in surface,E883.9
4955,Other falls from one level to another,E884
4956, Fall from playground equipment,E884.0
4957, Fall from cliff,E884.1
4958, Fall from chair or bed,E884.2
4959, Other falls from one level to another,E884.9
4960,"Fall on same level from slipping, tripping, or stumbling",E885
4961,"Fall on same level from collision, pushing, or shoving, by or with other person",E886
4962, In sports,E886.0
4963, Other and unspecified,E886.9
4964,"Fracture, cause unspecified",E887
4965,Other and unspecified falls,E888
4966, Accidents caused by fire and flames,E890_1E899
4967,Conflagration in private dwelling,E890
